,index,Sudan-2009/2,Ethiopia-2002/2,Sudan-1993/2,Sudan-2017/3,Ukraine-2017/5
0,0,149.9882352941,13.0170940171,352.5364128173,11.0,35.8245614035
1,1,945.3812929062,161.7028490028,1077.5536908139,192.3575757576,42.0388471178
2,2,541.9473684211,265.1856763926,1604.3606324774,136.1212121212,64.1748816486
3,3,674.3666666667,116.6556868419,383.1683908046,60.5,53.8719555299
4,4,6.0,27.6072261072,213.1357315703,66.0,16.6936339523
5,5,55.0,72.0235219326,764.8620689655,38.0,27.0035366932
6,6,275.0,14.6350921805,247.4873563218,28.0,26.8306176582
7,7,269.0,17.0438652257,62.1,37.0,29.6379310345
8,8,55.9166666667,16.6350921805,341.0,27.0,25.6028340081
9,9,148.5,25.8417037508,331.6666666667,4.0,24.6614920168
10,10,13.0,93.8102564103,710.5,10.617283950600001,12.8696829486
11,11,218.0,68.9663003663,494.3333333333,77.1675485009,35.9968781219
12,12,315.0,32.0512820513,334.6909090909,35.6913580247,38.5275069758
13,13,196.4333333333,32.7307692308,0.14814814810000002,57.024691358,18.5494505495
14,14,89.7,25.4179487179,35.1034482759,111.0,25.495014245
