,index,Pakistan-1996/12,DR Congo (Zaire)-1993/1,Honduras-2010/11,Mali-2018/1
0,0,0.0,0.0,0.0,5.0
1,1,0.0,0.0,0.0,4.0
2,2,11.346193952,294.9693746562,3.5769230769,30.0714285714
3,3,13.5281543274,742.5958504335,3.2307692308,37.0
4,4,13.0917622523,707.7481203008,3.5769230769,45.5
5,5,15.5281543274,676.6917293233,3.4615384615,26.5
6,6,16.9421272158,747.2481203008,3.5769230769,50.0
7,7,2.0,0.0,0.6923076923,1.0
8,8,0.0,38.0,0.0,2.0
9,9,0.0,0.0,0.0,10.0
10,10,2.0,0.0,0.0,2.0
11,11,0.0,0.0,0.0,4.0
12,12,0.0,12.4340659341,0.0,10.0
13,13,0.0,11.2307692308,0.0,28.0
14,14,9.0,12.4340659341,0.0,26.0
15,15,0.0,12.032967033,0.0,7.0
16,16,0.0,12.4340659341,16.0,13.0
17,17,25.6,12.032967033,0.0,84.0
